metric,q01,q05,q10,q25,q50,q75,q90,q95,q99
cov_Hj_pre,0.19911111111111113,0.23555555555555555,0.2777777777777778,0.4111111111111111,0.5333333333333333,0.7,0.7911111111111112,0.8533333333333333,0.9817777777777777
cov_Hj_treat,0.07142857142857142,0.14285714285714285,0.2057142857142857,0.35714285714285715,0.5,0.6428571428571429,0.7857142857142857,0.8571428571428571,0.9542857142857143
cov_ex_pre,0.14444444444444443,0.37777777777777777,0.37777777777777777,0.4,0.5555555555555556,0.7777777777777778,0.8044444444444445,0.8222222222222222,0.8222222222222222
cov_ex_treat,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.7857142857142857,0.7942857142857144,0.8,0.8
cov_on_i_pre,0.14444444444444443,0.37777777777777777,0.37777777777777777,0.4,0.5555555555555556,0.7777777777777778,0.8044444444444445,0.8222222222222222,0.8222222222222222
cov_on_i_treat,0.3333333333333333,0.35714285714285715,0.35714285714285715,0.5714285714285714,0.6428571428571429,0.7857142857142857,0.7942857142857144,0.8,0.8
cov_on_j_pre,0.19911111111111113,0.23555555555555555,0.2777777777777778,0.4111111111111111,0.5333333333333333,0.7,0.7911111111111112,0.8533333333333333,0.9817777777777777
cov_on_j_treat,0.07142857142857142,0.14285714285714285,0.2057142857142857,0.35714285714285715,0.5,0.6428571428571429,0.7857142857142857,0.8571428571428571,0.9542857142857143
rate_i_pre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rate_i_treat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rate_j_pre,0.0,0.0,0.0,0.0,0.0,0.0,0.008955223880597036,0.021859410430839,0.1535435992578849
rate_j_treat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06153846153846132,0.7894505494505494
clean_share,0.0,0.07142857142857142,0.07142857142857142,0.16666666666666666,0.35714285714285715,0.42857142857142855,0.5714285714285714,0.5942857142857142,0.6942857142857142
delta_Hj_treat_pre,-0.08822159775190686,0.05492063777777778,0.11165024944827585,0.15770565136214604,0.18611111200000002,0.28333334,0.3230322209042017,0.37976191000000004,0.4691428685714285
d_Hj_treat_pre,-0.33314583722186875,0.7419680365349923,1.5896244581880827,2.393745468857781,5.016651614928589,10.666438391554495,14.007413825929138,15.684387141358119,25.553772617745782
delta_ex_treat_pre,0.10765238502626971,0.10765238502626971,0.10765238502626971,0.1346210222406544,0.20223339659523806,0.2584730006954751,0.2970433238950768,0.2970433238950768,0.4192708333333333
d_ex_treat_pre,2.3649889629239893,3.6931524241261204,3.6931524241261204,3.7635970021077383,4.725706278968189,7.002710595433506,7.297393229020224,7.297393229020224,7.297393229020224
slope_Hj_pre_per_day,-0.0011608368854368332,-0.0005925495590863385,-0.00044146893478719875,-0.00023241180694190722,0.0,0.0,0.003624882056239726,0.005539315209222841,0.01480237535579093
r2_Hj_pre,0.0,0.0,0.0,0.0,0.0006791171477079794,0.058474514311625224,0.17128390046759187,0.22484238758787745,0.34802663633882874
slope_ex_pre_per_day,-0.0005470062710228974,-0.0005470062710228974,-0.0005470062710228974,-0.0003416289991632457,-8.148714071810537e-05,0.0005587493213247741,0.0024172224357084356,0.0024172224357084356,0.0024172224357084356
r2_ex_pre,0.0,0.0006493506428571422,0.0006493506428571422,0.025247103525508276,0.10418165476475622,0.14672666995946443,0.3358761940266137,0.3358761940266137,0.3358761940266137
pass_rate,,,,,0.4153846153846154,,,,
